,titres,liens,composes
31,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-coupe-sarouel-en-gaze-de-coton-ecru.htm?ProductId=702090505&amp;FiltreCouleur=0401&amp;t=1"">Pantalon coupe sarouel en gaze de coton - écru</a>",/pantalon-coupe-sarouel-en-gaze-de-coton-ecru.htm?ProductId=702090505&FiltreCouleur=0401&t=1,['pur coton']
32,"<a class=""omnitureproductlink product-image-link"" href=""/combinaison-bebe-naissance-forme-barboteuse-bleu-chambray-raye.htm?ProductId=702170270&amp;FiltreCouleur=6398&amp;t=1"">Combinaison bébé naissance forme barboteuse - bleu chambray...</a>",/combinaison-bebe-naissance-forme-barboteuse-bleu-chambray-raye.htm?ProductId=702170270&FiltreCouleur=6398&t=1,"['60% coton', '40% viscose']"
33,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-coupe-sarouel-en-gaze-de-coton-bleu.htm?ProductId=702090505&amp;FiltreCouleur=6399&amp;t=1"">Pantalon coupe sarouel en gaze de coton - bleu</a>",/pantalon-coupe-sarouel-en-gaze-de-coton-bleu.htm?ProductId=702090505&FiltreCouleur=6399&t=1,['pur coton']
34,"<a class=""omnitureproductlink product-image-link"" href=""/legging-bebe-en-maille-cotelee-sable.htm?ProductId=702090762&amp;FiltreCouleur=6306&amp;t=1"">Legging bébé en maille côtelée - sable</a>",/legging-bebe-en-maille-cotelee-sable.htm?ProductId=702090762&FiltreCouleur=6306&t=1,['100% coton']
35,"<a class=""omnitureproductlink product-image-link"" href=""/lot-de-2-leggings-longs-bebe-fille-basics-lot-marine-grise.htm?ProductId=702090423&amp;FiltreCouleur=6381&amp;t=1"">Lot de 2 leggings longs bébé fille BASICS - lot marine grisé</a>",/lot-de-2-leggings-longs-bebe-fille-basics-lot-marine-grise.htm?ProductId=702090423&FiltreCouleur=6381&t=1,"['95% coton', '5% �lasthanneEn', '90% coton', '6% viscose', '4% �lasthanne']"
36,"<a class=""omnitureproductlink product-image-link"" href=""/combinaison-bebe-naissance-forme-barboteuse-jaune-pale.htm?ProductId=702170270&amp;FiltreCouleur=0710&amp;t=1"">Combinaison bébé naissance forme barboteuse - jaune pâle</a>",/combinaison-bebe-naissance-forme-barboteuse-jaune-pale.htm?ProductId=702170270&FiltreCouleur=0710&t=1,"['60% coton', '40% viscose']"
37,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-molleton-bebe-garcon-uni-basics-tilleul-fonce.htm?ProductId=702090373&amp;FiltreCouleur=6729&amp;t=1"">Pantalon molleton bébé garçon uni BASICS - tilleul foncé</a>",/pantalon-molleton-bebe-garcon-uni-basics-tilleul-fonce.htm?ProductId=702090373&FiltreCouleur=6729&t=1,['pur coton']
38,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-bebe-en-gaze-de-coton-caramel.htm?ProductId=702090776&amp;FiltreCouleur=0810&amp;t=1"">Pantalon bébé en gaze de coton - caramel</a>",/pantalon-bebe-en-gaze-de-coton-caramel.htm?ProductId=702090776&FiltreCouleur=0810&t=1,['100% coton']
39,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-molleton-bebe-garcon-uni-basics-brique.htm?ProductId=702090373&amp;FiltreCouleur=6689&amp;t=1"">Pantalon molleton bébé garçon uni BASICS - brique</a>",/pantalon-molleton-bebe-garcon-uni-basics-brique.htm?ProductId=702090373&FiltreCouleur=6689&t=1,['pur coton']
40,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-bebe-en-maille-piquee-vert-d-eau.htm?ProductId=341003713&amp;FiltreCouleur=1328&amp;t=1"">Pantalon bébé en maille piquée - vert d'eau</a>",/pantalon-bebe-en-maille-piquee-vert-d-eau.htm?ProductId=341003713&FiltreCouleur=1328&t=1,"['59% coton', '41% polyester']"
